AccountName,AccountNameID,BeginningBalance,Date,DateID,TransactionType,TransactionTypeID,Num,NumID,Adj,AdjID,Name,NameID,Memo/Description,Memo/DescriptionID,Split,SplitID,Amount,AmountID,Balance,BalanceID
1301.03 St. Philomena #703790204,,42410.03,,,,,,,,,,,,,,,,,,
1400 Endowment & Spc Investment Sav,371,,,,,,,,,,,,,,,,,,,
1430 Balanced Mutual Fund,,,,,,,,,,,,,,,,,,,,
1430.01 St Francis Fixed #701351230,,24522.22,,,,,,,,,,,,,,,,,,
2000 Accounts Payable,236,46866.98,,,,,,,,,,,,,,,,,,
2000 Accounts Payable,236,46866.98,6/30/2021,,Bill,7020,"M,F,P-Inv#063021",,No,,Franciscan Friars,134,"M,F,P-Inv#063021 (Masses celebrated from June 1 - June 27, 2021)",,-Split-,,1000,,47866.98,
2000 Accounts Payable,236,46866.98,6/30/2021,,Bill,7019,P-Inv#063021,,No,,Fr. Tom Florek,342,"P-Inv#063021 (Masses celebrated from June 1 - June 27, 2021)",,4012 Salaries:Extra Priests,420,100,,47966.98,
2000 Accounts Payable,236,46866.98,6/30/2021,,Bill,7022,M-Inv#17237652,,No,,Quill LLC,214,M-Inv#17237652 (Janitorial Supplies),,4459 Maintenance & Building Repairs:Janitorial Supplies,94,78.54,,48045.52,
2000 Accounts Payable,236,46866.98,6/30/2021,,Bill,7021,P-Inv#063021,,No,,Fr. Michael Rossmann,8,"P-Inv#063021 (Masses celebrated from June 1 - June 27, 2021)",,4012 Salaries:Extra Priests,420,100,,48145.52,
2000 Accounts Payable,236,46866.98,7/6/2021,,Bill,7017,P-Inv#070621 Reimb.,,No,,Jaime Sotelo,156,P-Inv#070621 (Reimbursement for A/C Church Repair),,4456 Maintenance & Building Repairs:Equipment Services,92,200,,48345.52,
2000 Accounts Payable,236,46866.98,7/6/2021,,Bill,7013,M-Inv#070621 Reimb.,,No,,Estela Alvarez,293,M-Inv#070621 (Reimbursement for Fr. Graf's going away reception),,4252 Food Service & Meals:Food/Groceries,75,149.73,,48495.25,
2000 Accounts Payable,236,46866.98,7/8/2021,,Bill,7016,F-Inv#070821,,No,,Robert Frustini,341,F-Inv#070821 (Repair to Rectory),,4454 Maintenance & Building Repairs:Building Services,90,1601.97,,50097.22,
2200 Other Payroll Withholdings,18,,,,,,,,,,,,,,,,,,,
2204 Employee Health Ins. Withheld,,-54,,,,,,,,,,,,,,,,,,
2204 Employee Health Ins. Withheld,,-54,7/9/2021,,Journal Entry,6996,10,,No,,,,EE Medical Ins. Prem. w/h,,-Split-,,541.5,,487.5,
2205 Employee Dental Ins. Co-Pay,19,-38.5,,,,,,,,,,,,,,,,,,
2205 Employee Dental Ins. Co-Pay,19,-38.5,7/9/2021,,Journal Entry,6996,10,,No,,,,EE Dental Ins. Prem. w/h,,-Split-,,73.75,,35.25,
2300 Archdiocesan Obligations,398,,,,,,,,,,,,,,,,,,,
2313 Principal/Interest Due on Loan,,,,,,,,,,,,,,,,,,,,
2313.71 Maternity Church FY15 A/R Prin,,19337.15,,,,,,,,,,,,,,,,,,
2313.78 Maternity Int #702970124,379,12773.51,,,,,,,,,,,,,,,,,,
2313.79 Maternity Prin #702970128,380,25000,,,,,,,,,,,,,,,,,,
2313.80 Maternity Int #702970128,381,14255.21,,,,,,,,,,,,,,,,,,
2313.81 Maternity Prin #702970129,382,33378,,,,,,,,,,,,,,,,,,
2313.82 Maternity Int #702970129,383,14881.02,,,,,,,,,,,,,,,,,,
2313.83 Maternity Prin #702970130,384,85306.05,,,,,,,,,,,,,,,,,,
2313.84 Maternity Int #702970130,385,33985.73,,,,,,,,,,,,,,,,,,
2313.85 Maternity Prin #702970131,386,25134.63,,,,,,,,,,,,,,,,,,
2313.86 Maternity Int #702970131,387,8704.83,,,,,,,,,,,,,,,,,,
2313.87 Maternity Prin #702970155,388,24007.38,,,,,,,,,,,,,,,,,,
2313.88 Maternity Int #702970155,389,8314.43,,,,,,,,,,,,,,,,,,
2313.90 St. Philomena Int #403790144,390,31645.85,,,,,,,,,,,,,,,,,,
2313.92 St. Philomena Int #703790120,391,11572.67,,,,,,,,,,,,,,,,,,
2313.94 St. Philomena Int #703790123,392,23418.47,,,,,,,,,,,,,,,,,,
2313.96 St. Philomena Int #703790124,393,24771.41,,,,,,,,,,,,,,,,,,
2400 Prepaid Tuition & Fees,311,9581,,,,,,,,,,,,,,,,,,
2475 SBA - PPP Proceeds,405,,,,,,,,,,,,,,,,,,,
2475.10 SBA - PPP Church,,182192.5,,,,,,,,,,,,,,,,,,
2500 Other Current Liabilities,306,1006.37,,,,,,,,,,,,,,,,,,
2703 Opening Bal Equity,273,340633.67,,,,,,,,,,,,,,,,,,
3900 Retained Earnings,305,302601.92,,,,,,,,,,,,,,,,,,
3000 Sunday and Holy Day Collections,194,,,,,,,,,,,,,,,,,,,
3011 Sunday Collection,,,,,,,,,,,,,,,,,,,,
3012 Sunday Collection Envelopes,,,,,,,,,,,,,,,,,,,,
3012 Sunday Collection Envelopes,,,6/30/2021,,Deposit,7006,,,No,,,,Sunday Envelope Collection,,1101.10 Cash:SJLSDR Operating Acct#2513:Church Available,447,2097,,2098,
3012 Sunday Collection Envelopes,,,6/30/2021,,Deposit,7005,,,No,,,,Sunday Envelope Collection,,1101.10 Cash:SJLSDR Operating Acct#2513:Church Available,447,1194,,3292,
3012 Sunday Collection Envelopes,,,6/30/2021,,Deposit,7004,,,No,,,,Sunday Envelope Collection,,1101.10 Cash:SJLSDR Operating Acct#2513:Church Available,447,2543,,5835,
3012 Sunday Collection Envelopes,,,7/7/2021,,Deposit,6999,,,No,,,,Sunday Envelope Collection,,1101.10 Cash:SJLSDR Operating Acct#2513:Church Available,447,2139,,7974,
3012 Sunday Collection Envelopes,,,7/7/2021,,Deposit,7003,,,No,,,,Sunday Envelopes dropped off at Rectory,,1101.10 Cash:SJLSDR Operating Acct#2513:Church Available,447,40,,8014,
3012 Sunday Collection Envelopes,,,7/7/2021,,Deposit,6998,,,No,,,,Sunday Envelope Collection,,1101.10 Cash:SJLSDR Operating Acct#2513:Church Available,447,1495,,9509,
3012 Sunday Collection Envelopes,,,7/7/2021,,Deposit,7000,,,No,,,,Sunday Envelope Collection,,1101.10 Cash:SJLSDR Operating Acct#2513:Church Available,447,945,,10454,
3015 Holy Day Collection,197,,,,,,,,,,,,,,,,,,,
3016 Holy Day Collection Envelopes,,,,,,,,,,,,,,,,,,,,
3016 Holy Day Collection Envelopes,,,6/30/2021,,Deposit,7006,,,No,,,,Assumption,,1101.10 Cash:SJLSDR Operating Acct#2513:Church Available,447,10,,15,
3016 Holy Day Collection Envelopes,,,6/30/2021,,Deposit,7004,,,No,,,,Ascension,,1101.10 Cash:SJLSDR Operating Acct#2513:Church Available,447,2,,17,
3040 Other Collections,26,,,,,,,,,,,,,,,,,,,
3041 Fuel Collection,,,,,,,,,,,,,,,,,,,,
3041 Fuel Collection,,,6/30/2021,,Deposit,7006,,,No,,,,Utilities Collection,,1101.10 Cash:SJLSDR Operating Acct#2513:Church Available,447,45,,51,
3041 Fuel Collection,,,7/7/2021,,Deposit,6999,,,No,,,,Utilities Collection,,1101.10 Cash:SJLSDR Operating Acct#2513:Church Available,447,303,,354,
3041 Fuel Collection,,,7/7/2021,,Deposit,6998,,,No,,,,Utilities Collection,,1101.10 Cash:SJLSDR Operating Acct#2513:Church Available,447,57,,411,
3043 School Support Collection,198,,,,,,,,,,,,,,,,,,,
3043 School Support Collection,198,,7/7/2021,,Deposit,6999,,,No,,,,School Support,,1101.10 Cash:SJLSDR Operating Acct#2513:Church Available,447,23,,40,
3350 Lease and/or Rental Income,414,,,,,,,,,,,,,,,,,,,
3352 Facility Rental,,,,,,,,,,,,,,,,,,,,
3700 Miscellaneous Income,47,,,,,,,,,,,,,,,,,,,
3701 Stole Fees,,,,,,,,,,,,,,,,,,,,
3701 Stole Fees,,,7/7/2021,,Deposit,7001,,,No,,,,Baptisms,,1101.10 Cash:SJLSDR Operating Acct#2513:Church Available,447,750,,2155,
3701 Stole Fees,,,7/7/2021,,Deposit,7003,,,No,,,,Baptisms,,1101.10 Cash:SJLSDR Operating Acct#2513:Church Available,447,450,,2605,
3701 Stole Fees,,,7/7/2021,,Deposit,7001,,,No,,,,Funerals,,1101.10 Cash:SJLSDR Operating Acct#2513:Church Available,447,325,,2930,
3701 Stole Fees,,,7/7/2021,,Deposit,6998,,,No,,,,Baptisms,,1101.10 Cash:SJLSDR Operating Acct#2513:Church Available,447,319,,3249,
3702 Stipend for Masses,48,,,,,,,,,,,,,,,,,,,
3702 Stipend for Masses,48,,7/7/2021,,Deposit,7003,,,No,,,,Mass Intentions,,1101.10 Cash:SJLSDR Operating Acct#2513:Church Available,447,75,,155,
3702 Stipend for Masses,48,,7/7/2021,,Deposit,7001,,,No,,,,Mass Intentions,,1101.10 Cash:SJLSDR Operating Acct#2513:Church Available,447,95,,250,
3703 Votive and Vigil Candles,49,,,,,,,,,,,,,,,,,,,
3706 Donations,50,,,,,,,,,,,,,,,,,,,
3706 Donations,50,,7/7/2021,,Deposit,6998,,,No,,,,Divino Ni̱o / Evangelizacion Capilla,,1101.10 Cash:SJLSDR Operating Acct#2513:Church Available,447,25,,65,
3706 Donations,50,,7/7/2021,,Deposit,7003,,,No,,,,Donations,,1101.10 Cash:SJLSDR Operating Acct#2513:Church Available,447,15,,80,
3706 Donations,50,,7/7/2021,,Deposit,7001,,,No,,,,Donations,,1101.10 Cash:SJLSDR Operating Acct#2513:Church Available,447,5,,85,
4010 Salaries,463,,,,,,,,,,,,,,,,,,,
4011 Priests,,,,,,,,,,,,,,,,,,,,
4012 Extra Priests,420,,,,,,,,,,,,,,,,,,,
4012 Extra Priests,420,,6/30/2021,,Bill,7019,P-Inv#063021,,No,,Fr. Tom Florek,342,"P-Inv#063021 (Masses celebrated from June 1 - June 27, 2021)",,2000 Accounts Payable,236,100,,433.34,
4012 Extra Priests,420,,6/30/2021,,Bill,7020,"M,F,P-Inv#063021",,No,,Franciscan Friars,134,"F-Inv#063021 (Masses celebrated from June 1 - June 27, 2021)",,2000 Accounts Payable,236,333.33,,766.67,
4012 Extra Priests,420,,6/30/2021,,Bill,7020,"M,F,P-Inv#063021",,No,,Franciscan Friars,134,"P-Inv#063021 (Masses celebrated from June 1 - June 27, 2021)",,2000 Accounts Payable,236,333.33,,1100,
4012 Extra Priests,420,,6/30/2021,,Bill,7021,P-Inv#063021,,No,,Fr. Michael Rossmann,8,"P-Inv#063021 (Masses celebrated from June 1 - June 27, 2021)",,2000 Accounts Payable,236,100,,1200,
4013 Religious Staff,419,,,,,,,,,,,,,,,,,,,
4014 Professional Staff,439,,,,,,,,,,,,,,,,,,,
4014 Professional Staff,439,,7/9/2021,,Journal Entry,6996,10,,No,,,,Professional Staff - Musician,,-Split-,,1518.26,,5254.74,
4014 Professional Staff,439,,7/9/2021,,Journal Entry,6996,10,,No,,,,GTL Catechesis,,-Split-,,-1.98,,5252.76,
4015 Admin Support Staff - Church,309,,,,,,,,,,,,,,,,,,,
4016 House Staff,424,,,,,,,,,,,,,,,,,,,
4017 Maintenance - Church,308,,,,,,,,,,,,,,,,,,,
4017 Maintenance - Church,308,,7/9/2021,,Journal Entry,6996,10,,No,,,,GTL Church Maintenance Staff,,-Split-,,-1.17,,2316,
4040 Employer FICA,52,,,,,,,,,,,,,,,,,,,
4040 Employer FICA,52,,7/9/2021,,Journal Entry,6996,10,,No,,,,FICA House Staff,,-Split-,,57.38,,207.4,
4040 Employer FICA,52,,7/9/2021,,Journal Entry,6996,10,,No,,,,FICA Church Support Staff,,-Split-,,227.94,,435.34,
4040 Employer FICA,52,,7/9/2021,,Journal Entry,6996,10,,No,,,,FICA Catechesis,,-Split-,,273.33,,708.67,
4040 Employer FICA,52,,7/9/2021,,Journal Entry,6996,10,,No,,,,FICA Religious Staff,,-Split-,,13.77,,722.44,
4040 Employer FICA,52,,7/9/2021,,Journal Entry,6996,10,,No,,,,FICA Professional Staff - Musician,,-Split-,,116.15,,838.59,
4150 Administrative Expenses,70,,,,,,,,,,,,,,,,,,,
4155 Professional Service Fees,,,,,,,,,,,,,,,,,,,,
4250 Food Service & Meals,75,,,,,,,,,,,,,,,,,,,
4252 Food/Groceries,,,,,,,,,,,,,,,,,,,,
4450 Maintenance & Building Repairs,90,,,,,,,,,,,,,,,,,,,
4454 Building Services,,,,,,,,,,,,,,,,,,,,
4456 Equipment Services,92,,,,,,,,,,,,,,,,,,,
4459 Janitorial Supplies,94,,,,,,,,,,,,,,,,,,,
5120 Capital Collections,129,,,,,,,,,,,,,,,,,,,
5122 Church Building Fund,,,,,,,,,,,,,,,,,,,,
5122 Church Building Fund,,,6/30/2021,,Deposit,7004,,,No,,,,Parish Renovation Collection,,1101.10 Cash:SJLSDR Operating Acct#2513:Church Available,447,335,,357,
5122 Church Building Fund,,,7/7/2021,,Deposit,6999,,,No,,,,Parish Renovation Collection,,1101.10 Cash:SJLSDR Operating Acct#2513:Church Available,447,87,,444,
5122 Church Building Fund,,,7/7/2021,,Deposit,6998,,,No,,,,Parish Renovation Collection,,1101.10 Cash:SJLSDR Operating Acct#2513:Church Available,447,128,,572,
