AccountName,AccountNameID,BeginningBalance
2542.04 Funds Held St. Thomas School,NULL,1991.16
2542.05 Funds for St. Thomas FoodPantry,481,2460.00
2542.07 SFX School Technology Fund,482,62705.27
2542.08 SFX Undesignated Scholar/Proj,483,221972.77
2542.09 SFX EPIC Fund,484,134244.00
2542.10 SFX School Fund the Need,485,302198.00
2542.11 SFX School Teacher Development,486,38552.75
2542.12 SFX School Events,487,33366.00
2703 Opening Bal Equity,202,5065889.96
3900 Retained Earnings,393,-604035.35
